order_id,product_id,customer_id,price,order_date,shipping_date,order_status
1,1014,2877,449.42,2024-07-28,2024-08-02,Cancelled
2,1007,3043,249.29,2024-01-06,2024-01-08,Completed
3,1010,3393,213.97,2023-04-23,2023-04-25,Completed
4,1016,3083,129.45,2024-01-30,2024-02-03,Completed
5,1006,3099,376.68,2024-11-27,2024-12-03,Processing
6,1016,2006,477.14,2023-04-25,2023-04-28,Processing
7,1006,2217,435.91,2024-05-27,2024-06-03,Processing
8,1007,2765,382.44,2024-10-16,2024-10-21,Completed
9,1003,3902,184.68,2024-09-05,2024-09-08,Processing
10,1014,3939,43.98,2023-09-03,2023-09-04,Cancelled
11,1007,2262,331.58,2023-03-12,2023-03-19,Shipped
12,1008,3975,109.84,2023-09-29,2023-10-04,Shipped
13,1019,2764,221.86,2023-11-16,2023-11-20,Cancelled
14,1017,2043,296.21,2023-05-04,2023-05-06,Shipped
15,1005,3292,34.14,2024-08-25,,Completed
16,1015,2487,142.85,2023-02-02,2023-02-09,Cancelled
17,1006,3807,287.67,2023-08-08,2023-08-13,Cancelled
18,1008,2389,51.69,2023-09-06,2023-09-13,Cancelled
19,1002,3493,31.81,2023-12-29,2024-01-02,Completed
20,1010,3764,59.09,2023-03-04,2023-03-08,Shipped
21,1008,2375,142.88,2023-07-14,2023-07-19,Shipped
22,1002,3127,53.46,2023-03-19,2023-03-23,Completed
23,1007,2832,245.39,2023-04-06,2023-04-13,Shipped
24,1009,2799,136.28,2024-02-15,2024-02-16,Cancelled
25,1005,3604,280.11,2023-10-20,2023-10-24,Cancelled
26,1009,3186,369.19,2023-06-08,2023-06-10,Completed
27,1016,3029,460.1,2023-11-18,2023-11-19,Shipped
28,1007,2140,299.54,2023-02-28,2023-03-05,Shipped
29,1014,2504,291.56,2024-02-18,2024-02-19,Completed
30,1014,3157,263.78,2024-09-26,2024-09-27,Processing
31,1011,2543,200.91,2023-07-29,2023-08-04,Processing
32,1006,2148,9.61,2024-04-13,2024-04-16,Completed
33,1018,2271,466.96,2023-03-17,2023-03-22,Completed
34,1016,3707,273.89,2023-09-08,2023-09-11,Processing
35,1009,3367,409.47,2024-09-18,2024-09-25,Processing
36,1007,2541,62.14,2024-11-10,2024-11-11,Completed
37,1014,2431,360.22,2024-07-20,2024-07-22,Shipped
38,1016,2514,453.14,2024-10-11,2024-10-18,Completed
39,1018,2090,6.76,2023-04-05,2023-04-11,Shipped
40,1016,3129,354.31,2024-10-14,2024-10-17,Completed
41,1005,3851,78.78,2023-04-25,2023-04-26,Completed
42,1008,2261,25.71,2024-01-14,2024-01-19,Processing
43,1011,3365,55.88,2023-02-10,2023-02-13,Cancelled
44,1006,2484,432.98,2024-09-27,2024-10-03,Shipped
45,1006,2680,392.28,2024-02-27,2024-02-28,Cancelled
46,1011,2546,83.8,2024-11-16,2024-11-23,Completed
47,1016,2455,103.79,2024-01-27,,Cancelled
48,1002,2466,115.35,2023-12-25,2023-12-28,Shipped
49,1003,3980,387.8,2024-02-13,2024-02-16,Processing
50,1002,3098,168.92,2024-10-18,2024-10-23,Completed
51,1018,2078,58.66,2023-04-29,2023-05-02,Cancelled
52,1008,3241,492.2,2023-12-20,2023-12-26,Completed
53,1009,3451,220.85,2024-01-30,2024-02-04,Shipped
54,1019,3885,168.45,2024-01-08,2024-01-12,Processing
55,1006,2615,256.03,2024-11-10,2024-11-17,Cancelled
56,1015,2260,99.96,2023-12-01,2023-12-05,Cancelled
57,1014,3165,153.97,2024-11-24,2024-11-30,Completed
58,1010,3187,305.3,2023-11-08,2023-11-11,Processing
59,1011,3046,239.23,2024-04-21,2024-04-25,Shipped
60,1019,3296,311.53,2024-11-05,2024-11-06,Completed
61,1010,2407,77.94,2023-08-29,2023-09-04,Completed
62,1010,2149,230.43,2023-09-08,2023-09-12,Shipped
63,1007,3343,345.37,2024-01-29,2024-02-02,Completed
64,1005,3060,234.95,2024-03-11,2024-03-13,Shipped
65,1016,3367,267.91,2023-05-05,2023-05-09,Processing
66,1006,3033,216.24,2024-03-29,2024-04-03,Cancelled
67,1016,2530,377.13,2023-06-12,2023-06-18,Processing
68,1018,2900,43.35,2024-06-17,2024-06-21,Processing
69,1006,3106,44.89,2023-08-29,2023-09-01,Shipped
70,1005,2438,36.79,2023-08-25,2023-08-29,Cancelled
71,1009,2423,417.28,2023-12-05,2023-12-10,Cancelled
72,1006,3567,289.97,2024-08-21,,Cancelled
73,1008,3747,446.36,2023-01-07,2023-01-10,Cancelled
74,1010,3235,449.42,2024-07-05,2024-07-11,Cancelled
75,1009,2796,171.38,2023-08-13,2023-08-16,Cancelled
76,1007,3274,269.39,2023-06-19,2023-06-26,Cancelled
77,1003,3316,217.16,2024-08-29,2024-09-03,Cancelled
78,1017,2433,230.08,2023-07-06,2023-07-07,Processing
79,1002,2863,129.87,2024-01-24,2024-01-27,Completed
80,1009,3949,178.23,2024-04-26,2024-04-27,Completed
81,1011,2408,420.42,2024-10-29,2024-10-30,Shipped
82,1003,3155,474.14,2023-09-02,2023-09-04,Cancelled
83,1014,3243,482.05,2023-09-20,2023-09-27,Completed
84,1009,3902,159.42,2023-06-17,2023-06-20,Cancelled
85,1014,3414,416.13,2024-02-11,2024-02-17,Shipped
86,1002,3401,302.2,2023-04-15,2023-04-21,Completed
87,1015,2877,332.45,2024-08-02,,Completed
88,1002,2860,412.05,2024-06-02,2024-06-08,Completed
89,1002,2941,355.12,2024-03-19,2024-03-22,Cancelled
90,1019,2553,309.88,2023-06-30,2023-07-06,Cancelled
91,1014,2549,164.54,2024-04-21,2024-04-25,Shipped
92,1011,3536,235.03,2023-03-30,2023-04-02,Cancelled
93,1017,2372,246.34,2023-12-11,2023-12-12,Processing
94,1014,3436,440.65,2023-09-22,2023-09-25,Completed
95,1005,2832,246.85,2024-06-13,2024-06-15,Shipped
96,1016,3623,13.54,2024-05-02,2024-05-08,Processing
97,1018,3359,292.87,2023-08-15,2023-08-19,Cancelled
98,1005,3127,168.74,2024-07-20,2024-07-25,Cancelled
99,1003,3477,100.33,2023-10-05,2023-10-08,Completed
100,1011,2443,370.61,2024-07-02,2024-07-09,Processing
101,1018,2205,417.15,2024-08-26,2024-09-02,Processing
102,1009,3450,269.4,2023-08-21,2023-08-24,Processing
103,1005,3933,67.51,2023-02-16,2023-02-17,Cancelled
104,1018,2961,241.96,2023-04-16,,Processing
105,1002,2978,61.47,2023-07-08,2023-07-09,Completed
106,1019,3405,31.54,2024-02-15,2024-02-19,Shipped
107,1011,2242,281.25,2024-07-30,2024-08-02,Cancelled
108,1011,3588,263.67,2024-09-12,2024-09-17,Cancelled
109,1008,2625,286.47,2024-03-29,2024-04-01,Completed
110,1010,2425,314.63,2024-09-16,2024-09-22,Processing
111,1007,3130,42.16,2024-11-07,2024-11-08,Completed
112,1016,2596,21.16,2024-02-23,2024-02-27,Processing
